2019-08-26	SÅLT	TEVA	23	7,55	1 666,71	SEK	9,65	71 563,79	632123766 	
	2019-08-07	SÅLT	TEVA	20	7,25	1 383,27	SEK	9,60	54 254,35	630644260 	
	2019-08-07	KÖPT	TEVA	25	6,82	-1 656,22	SEK	9,66	52 871,08	630642828 	
	2019-08-07	SÅLT	TEVA	25	7,15	1 707,58	SEK	9,60	54 527,30	630642817 	
	2019-08-07	SÅLT	TEVA	25	7,05	1 683,57	SEK	9,60	52 819,72	630642812 	
	2019-08-07	SÅLT	TEVA	25	6,95	1 659,56	SEK	9,60	51 136,15	630642573 	
	2019-08-07	SÅLT	TEVA	25	6,85	1 635,55	SEK	9,60	49 476,59	630642564 	
	2019-08-07	SÅLT	TEVA	25	6,75	1 608,08	SEK	9,58	47 841,04	630641584 	
	2019-08-07	KÖPT	TEVA	25	6,42	-1 556,18	SEK	9,64	46 232,96	630641098 	
	2019-08-07	SÅLT	TEVA	25	6,64	1 583,22	SEK	9,59	47 789,14	630640631 	
	2019-08-07	SÅLT	TEVA	25	6,55	1 561,63	SEK	9,59	46 205,92	630640622 	
	2019-08-07	KÖPT	TEVA	25	6,35	-1 539,31	SEK	9,64	44 644,29	630640379 	
	2019-08-07	KÖPT	FTR	150	0,96	-1 397,12	SEK	9,64	46 183,60	630640070 	
	2019-08-07	KÖPT	TEVA	25	6,45	-1 563,41	SEK	9,64	47 580,72	630639953 	
	2019-08-07	KÖPT	TEVA	25	6,53	-1 582,69	SEK	9,64	49 144,13	630639947 	
	2019-08-07	KÖPT	TEVA	25	6,66	-1 614,02	SEK	9,64	50 726,82	630639937 	
	2019-08-07	KÖPT	TEVA	25	6,70	-1 623,66	SEK	9,64	52 340,84	630639918 	
	2019-08-07	SÅLT	FTR	150	1,02	1 458,52	SEK	9,59	53 964,50	630639649 	
	2019-08-07	SÅLT	FTR	150	1,01	1 444,14	SEK	9,59	52 505,98	630639648 	
	2019-08-07	SÅLT	FTR	150	1,00	1 429,75	SEK	9,59	51 061,84	630639647 	
	2019-08-07	SÅLT	FTR	150	1,00	1 429,75	SEK	9,59	49 632,09	630639646 	
	2019-08-06	SÅLT	CYH	75	2,14	1 526,33	SEK	9,57	48 202,34	630511005 	
	2019-08-06	KÖPT	RAD	27	6,54	-1 706,62	SEK	9,61	46 676,01	630510736 	
	2019-08-06	KÖPT	FTR	150	1,07	-1 551,77	SEK	9,61	48 382,63	630510313 	
	2019-08-06	KÖPT	TEVA	25	7,02	-1 695,95	SEK	9,61	49 934,40	630510105 	
	2019-08-06	KÖPT	TEVA	25	7,13	-1 722,39	SEK	9,61	51 630,35	630509869 	
	2019-08-06	KÖPT	TEVA	20	7,25	-1 402,14	SEK	9,61	53 352,74	630509632 	
	2019-08-06	KÖPT	TEVA	20	7,35	-1 421,36	SEK	9,61	54 754,88	630509625 	
	2019-08-06	SÅLT	CYH	75	2,1002	1 499,40	SEK	9,58	56 176,24	630508066 	
	2019-08-06	KÖPT	TEVA	25	7,52	-1 818,29	SEK	9,62	54 676,84	630507665 	
	2019-08-06	KÖPT	ABB	20	173,70	-3 483,00	SEK	1,00	56 495,13	630453372 	
	2019-08-05	SÅLT	CYH	70	1,91	1 272,15	SEK	9,58	59 978,13	630369651 	
	2019-08-05	SÅLT	TEVA	20	7,86	1 497,34	SEK	9,58	58 705,98	630369520 	
	2019-08-05	KÖPT	FTR	150	1,13	-1 640,69	SEK	9,63	57 208,64	630368196 	
	2019-08-05	KÖPT	TEVA	20	7,53	-1 460,47	SEK	9,64	58 849,33	630366131 	
	2019-08-05	KÖPT	CYH	80	1,86	-1 443,63	SEK	9,64	60 309,80	630364788 	
	2019-08-05	KÖPT	FTR	150	1,1683	-1 698,03	SEK	9,64	61 753,43	630364397 	
	2019-08-05	KÖPT	TEVA	20	7,62	-1 477,81	SEK	9,64	63 451,46	630363975 	
	2019-08-05	SÅLT	MQ	750	2,40	1 796,00	SEK	1,00	64 929,27	630350775 	
	2019-08-05	SÅLT	MQ	750	2,39	1 788,00	SEK	1,00	63 133,27	630311316 	
	2019-08-05	SÅLT	MQ	662	2,3650	1 562,00	SEK	1,00	61 345,27	630298935 	
	2019-08-02	KÖPT	FTR	150	1,17	-1 705,88	SEK	9,67	59 783,27	630110950 	
	2019-08-02	KÖPT	CYH	75	1,94	-1 416,48	SEK	9,67	61 489,15	630108925 	
	2019-08-02	SÅLT	MQ	88	2,3750	208,00	SEK	1,00	62 905,63	630078693 	
	2019-08-02	SÅLT	MQ	750	2,36	1 766,00	SEK	1,00	62 697,63	630078159 	
	2019-08-02	SÅLT	MQ	750	2,34	1 751,00	SEK	1,00	60 931,63	630067469 	
	2019-08-02	KÖPT	MQ	750	2,28	-1 714,00	SEK	1,00	59 180,63	630053443 	
	2019-08-02	KÖPT	MQ	750	2,2750	-1 711,00	SEK	1,00	60 894,63	630053441 	
	2019-08-02	KÖPT	MQ	750	2,2750	-1 711,00	SEK	1,00	62 605,63	630053191 	
	2019-08-02	KÖPT	MQ	750	2,28	-1 714,00	SEK	1,00	64 316,63	630053189 	
	2019-08-02	KÖPT	MQ	750	2,31	-1 737,00	SEK	1,00	66 030,63	630053188 	
	2019-08-02	KÖPT	MQ	750	2,33	-1 752,00	SEK	1,00	67 767,63	630053187 		
	2019-08-02	KÖPT	MQ	750	2,38	-1 789,00	SEK	1,00	69 519,63	630051401 	
	2019-08-01	KÖPT	FTR	150	1,24	-1 811,18	SEK	9,69	71 308,63	629971351 	
	2019-08-01	KÖPT	MQ	500	2,4150	-1 211,00	SEK	1,00	73 119,81	629929905 	
	2019-08-01	KÖPT	MQ	500	2,42	-1 213,00	SEK	1,00	74 330,81	629927922 	
	2019-08-01	KÖPT	MQ	500	2,4250	-1 216,00	SEK	1,00	75 543,81	629924646 	
	2019-08-01	SÅLT	MQ	750	2,49	1 863,00	SEK	1,00	76 759,81	629905581 	
	2019-08-01	SÅLT	MQ	750	2,4850	1 859,00	SEK	1,00	74 896,81	629905067 	
	2019-08-01	SÅLT	MQ	750	2,4850	1 859,00	SEK	1,00	73 037,81	629904554 	
	2019-07-31	SÅLT	TEVA	20	8,08	1 536,58	SEK	9,56	71 178,81	629821583 	
	2019-07-30	SÅLT	FTR	120	1,38	1 570,24	SEK	9,54	69 642,23	629691705 	
	2019-07-30	KÖPT	MQ	750	2,4250	-1 823,00	SEK	1,00	68 071,99	629635573 	
	2019-07-30	SÅLT	MQ	750	2,49	1 863,00	SEK	1,00	69 894,99	629626352 	
	2019-07-30	SÅLT	MQ	750	2,48	1 855,00	SEK	1,00	68 031,99	629626095 	
	2019-07-30	SÅLT	MQ	750	2,47	1 848,00	SEK	1,00	66 176,99	629625857 	
	2019-07-30	SÅLT	MQ	750	2,46	1 840,00	SEK	1,00	64 328,99	629625355 	
	2019-07-30	SÅLT	MQ	750	2,45	1 833,00	SEK	1,00	62 488,99	629622882 	
	2019-07-30	SÅLT	MQ	750	2,44	1 825,00	SEK	1,00	60 655,99	629622357 	
	2019-07-30	SÅLT	MQ	750	2,4250	1 814,00	SEK	1,00	58 830,99	629621625 	
	2019-07-29	SÅLT	FTR	120	1,34	1 513,27	SEK	9,47	57 016,99	629538720 	
	2019-07-29	SÅLT	TEVA	20	7,92	1 490,55	SEK	9,47	55 503,72	629538071 	
	2019-07-29	SÅLT	CYH	80	2,18	1 644,08	SEK	9,48	54 013,17	629535129 	
	2019-07-29	KÖPT	MQ	750	2,3550	-1 771,00	SEK	1,00	52 369,09	629506484 	
	2019-07-29	KÖPT	MQ	750	2,36	-1 774,00	SEK	1,00	54 140,09	629506228 	
	2019-07-29	SÅLT	MQ	750	2,43	1 818,00	SEK	1,00	55 914,09	629487104 	
	2019-07-29	SÅLT	MQ	750	2,42	1 810,00	SEK	1,00	54 096,09	629487103 	
	2019-07-29	SÅLT	MQ	750	2,41	1 803,00	SEK	1,00	52 286,09	629487102 	
	2019-07-29	SÅLT	MQ	750	2,40	1 796,00	SEK	1,00	50 483,09	629487100 	
	2019-07-29	SÅLT	MQ	750	2,40	1 796,00	SEK	1,00	48 687,09	629487099 	
	2019-07-29	SÅLT	MQ	750	2,39	1 788,00	SEK	1,00	46 891,09	629486640 	
	2019-07-29	SÅLT	MQ	750	2,39	1 788,00	SEK	1,00	45 103,09	629486639 	
	2019-07-29	SÅLT	MQ	500	2,37	1 182,00	SEK	1,00	43 315,09	629486387 	
	2019-07-29	SÅLT	MQ	500	2,35	1 172,00	SEK	1,00	42 133,09	629485815 	
	2019-07-29	SÅLT	MQ	500	2,35	1 172,00	SEK	1,00	40 961,09	629485811 	
	2019-07-26	SÅLT	CYH	80	2,13	1 606,43	SEK	9,48	39 789,09	629443514 	
	2019-07-26	KÖPT	FTR	120	1,26	-1 444,53	SEK	9,49	38 182,66	629440828 	
	2019-07-26	KÖPT	MQ	35	2,29	-81,00	SEK	1,00	39 627,19	629425499 	
	2019-07-26	KÖPT	MQ	330	2,28	-754,00	SEK	1,00	39 708,19	629423519 	
	2019-07-26	KÖPT	MQ	10	2,28	-24,00	SEK	1,00	40 462,19	629423518 	
